[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Longitude,[General] [GPS] Latitude,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [Throughput] Application UL TP,[General] [GPS] Accumulated Distance,[NR5G] [Power] Tx power (Total Actual)
,NR SA,-122.357255,47.139592,583,-83.830000,27.940000,10.485,1.600000,17.800000
,NR SA,-122.357255,47.139592,583,-83.990000,27.760000,9.437,1.600000,17.700000
,NR SA,-122.357255,47.139592,583,-84.330000,27.110000,10.485,1.600000,18.400000
,NR SA,-122.357255,47.139592,583,-84.320000,27.190000,9.437,1.600000,18.200000
,NR SA,-122.357255,47.139592,583,-83.660000,27.950000,10.485,1.600000,18.000000
,NR SA,-122.357255,47.139592,583,-82.120000,29.030000,9.437,1.600000,17.500000
,NR SA,-122.357255,47.139592,583,-83.270000,28.620000,10.485,1.600000,17.900000
,NR SA,-122.357255,47.139592,583,-83.570000,28.140000,9.437,1.600000,17.400000
,NR SA,-122.357255,47.139592,583,-84.260000,27.820000,,1.600000,17.100000
,NR SA,-122.357255,47.139592,583,-85.580000,25.690000,,1.600000,11.000000
,NR SA,-122.357255,47.139592,583,-87.960000,24.490000,,1.600000,13.600000
,NR SA,-122.357255,47.139592,583,-85.520000,26.180000,,1.600000,16.800000
,NR SA,-122.357255,47.139592,583,-86.840000,25.890000,,1.600000,12.700000
,NR SA,-122.357255,47.139592,583,-85.190000,27.200000,,1.600000,12.600000
,NR SA,-122.357255,47.139592,583,-83.690000,28.370000,,1.600000,16.700000
,NR SA,-122.357255,47.139592,583,-82.770000,30.360000,,1.600000,11.500000
,NR SA,-122.357300,47.139610,583,-83.100000,28.090000,,1.600000,16.300000
,NR SA,-122.357297,47.139628,583,-81.470000,29.630000,,1.600000,14.400000
,NR SA,-122.357293,47.139665,583,-81.830000,29.650000,,1.600000,16.600000
,NR SA,-122.357280,47.139753,583,-82.490000,30.330000,10.485,1.600000,16.700000
,NR SA,-122.357272,47.139857,583,-83.050000,30.520000,10.485,1.600000,17.300000
,NR SA,-122.357270,47.139985,583,-82.550000,30.660000,9.437,1.600000,17.500000
,NR SA,-122.357273,47.140127,583,-82.290000,30.780000,10.485,1.700000,17.800000
,NR SA,-122.357278,47.140275,583,-83.110000,30.610000,9.437,1.700000,17.800000
,NR SA,-122.357285,47.140433,583,-84.660000,27.010000,10.485,1.700000,17.900000
,NR SA,-122.357292,47.140598,583,-88.010000,24.220000,9.437,1.700000,18.500000
,NR SA,-122.357298,47.140772,583,-92.880000,19.760000,10.485,1.700000,20.400000
,NR SA,-122.357302,47.140950,583,-89.510000,22.860000,9.437,1.700000,20.400000
,NR SA,-122.357307,47.141130,583,-89.300000,23.170000,10.485,1.800000,20.400000
,NR SA,-122.357310,47.141312,583,-90.490000,20.910000,9.437,1.800000,20.400000
,NR SA,-122.357313,47.141498,583,-88.850000,22.240000,10.485,1.800000,19.800000
,NR SA,-122.357315,47.141683,583,-92.490000,19.840000,9.437,1.800000,20.100000
,NR SA,-122.357315,47.141870,583,-91.620000,21.890000,,1.800000,19.500000
,NR SA,-122.357313,47.142057,583,-88.430000,23.360000,,1.900000,18.600000
,NR SA,-122.357310,47.142250,583,-92.950000,20.940000,,1.900000,20.000000
,NR SA,-122.357307,47.142440,583,-94.580000,16.060000,,1.900000,20.700000
,NR SA,-122.357303,47.142630,583,-93.100000,14.670000,,1.900000,20.100000
,NR SA,-122.357300,47.142818,583,-95.710000,14.410000,,2.000000,20.600000
,NR SA,-122.357298,47.143008,583,-97.630000,14.310000,,2.000000,20.600000
,NR SA,-122.357300,47.143200,583,-94.770000,15.630000,,2.000000,20.100000
,NR SA,-122.357302,47.143392,583,-98.870000,12.680000,,2.000000,21.500000
,NR SA,-122.357300,47.143580,583,-98.170000,10.770000,,2.000000,21.000000
,NR SA,-122.357297,47.143760,583,-100.160000,10.720000,,2.100000,21.300000
,NR SA,-122.357293,47.143927,583,-99.980000,9.330000,10.485,2.100000,21.400000
,NR SA,-122.357293,47.144080,583,-101.470000,8.680000,9.437,2.100000,21.400000
,NR SA,-122.357293,47.144217,583,-99.760000,12.060000,0.000,2.100000,21.300000
,NR SA,-122.357297,47.144340,583,-101.360000,7.270000,7.340,2.100000,21.300000
,NR SA,-122.357298,47.144453,583,-100.430000,7.540000,10.485,2.100000,21.300000
,NR SA,-122.357300,47.144557,583,-99.450000,10.120000,0.000,2.100000,21.300000
,NR SA,-122.357300,47.144647,583,-100.850000,10.430000,8.388,2.200000,21.400000
,NR SA,-122.357302,47.144725,583,-100.760000,11.180000,0.000,2.200000,21.400000
,NR SA,-122.357303,47.144792,583,-101.450000,9.940000,8.388,2.200000,21.300000
