[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Longitude,[General] [GPS] Latitude,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [Throughput] Application UL TP,[General] [GPS] Accumulated Distance,[NR5G] [Power] Tx power (Total Actual)
,NR SA,-122.357328,47.133078,583,-77.780000,29.410000,10.485,0.600000,14.700000
,NR SA,-122.357327,47.133263,583,-80.790000,27.770000,9.437,0.600000,16.200000
,NR SA,-122.357323,47.133458,583,-79.850000,28.550000,10.485,0.600000,16.000000
,NR SA,-122.357318,47.133655,583,-80.560000,29.100000,9.437,0.600000,16.200000
,NR SA,-122.357313,47.133852,583,-83.900000,25.490000,10.485,0.700000,17.100000
,NR SA,-122.357310,47.134052,583,-81.740000,27.830000,9.437,0.700000,16.700000
,NR SA,-122.357310,47.134253,583,-79.570000,30.170000,10.485,0.700000,17.200000
,NR SA,-122.357310,47.134452,583,-81.860000,28.240000,9.437,0.700000,18.500000
,NR SA,-122.357312,47.134650,583,-83.940000,26.250000,10.485,0.800000,18.400000
,NR SA,-122.357308,47.134848,583,-85.680000,23.430000,9.437,0.800000,19.100000
,NR SA,-122.357307,47.135050,583,-81.940000,25.680000,10.485,0.800000,16.400000
,NR SA,-122.357305,47.135257,583,-79.010000,26.520000,9.437,0.800000,16.400000
,NR SA,-122.357308,47.135467,583,-78.090000,29.260000,,0.800000,16.300000
,NR SA,-122.357308,47.135673,583,-76.100000,28.550000,,0.900000,14.700000
,NR SA,-122.357305,47.135878,583,-78.900000,30.110000,,0.900000,16.700000
,NR SA,-122.357303,47.136085,583,-78.500000,30.180000,,0.900000,17.100000
,NR SA,-122.357297,47.136288,583,-78.130000,30.850000,,0.900000,16.700000
,NR SA,-122.357293,47.136492,583,-78.950000,28.580000,,1.000000,17.400000
,NR SA,-122.357288,47.136693,583,-78.240000,30.570000,,1.000000,18.200000
,NR SA,-122.357285,47.136887,583,-87.320000,21.740000,,1.000000,18.700000
,NR SA,-122.357285,47.137070,583,-83.000000,27.650000,,1.000000,17.300000
,NR SA,-122.357287,47.137243,583,-77.970000,30.330000,,1.000000,15.200000
,NR SA,-122.357287,47.137410,583,-81.800000,27.310000,10.485,1.100000,18.200000
,NR SA,-122.357287,47.137572,583,-82.770000,28.590000,10.485,1.100000,18.000000
,NR SA,-122.357287,47.137733,583,-80.930000,29.010000,9.437,1.100000,18.300000
,NR SA,-122.357285,47.137893,583,-80.450000,28.440000,10.485,1.100000,17.700000
,NR SA,-122.357283,47.138048,583,-81.400000,27.490000,9.437,1.100000,17.800000
,NR SA,-122.357282,47.138192,583,-79.470000,30.110000,10.485,1.100000,16.400000
,NR SA,-122.357280,47.138310,583,-79.220000,32.060000,9.437,1.200000,17.200000
,NR SA,-122.357275,47.138393,583,-77.710000,34.520000,10.485,1.200000,16.800000
,NR SA,-122.357270,47.138458,583,-77.990000,32.840000,9.437,1.200000,17.000000
,NR SA,-122.357268,47.138508,583,-78.400000,33.340000,,1.200000,16.700000
,NR SA,-122.357268,47.138547,583,-80.140000,30.260000,10.485,1.200000,17.400000
,NR SA,-122.357273,47.138580,583,-79.950000,31.410000,9.437,1.200000,16.800000
,NR SA,-122.357275,47.138588,583,-81.670000,30.650000,10.485,1.200000,17.400000
,NR SA,-122.357272,47.138592,583,-82.930000,29.540000,9.437,1.200000,17.900000
,NR SA,-122.357270,47.138593,583,-82.580000,30.810000,,1.200000,9.600000
,NR SA,-122.357270,47.138592,583,-82.970000,27.510000,,1.200000,12.000000
,NR SA,-122.357270,47.138588,583,-82.320000,30.040000,,1.200000,14.300000
,NR SA,-122.357267,47.138583,583,-84.140000,29.800000,,1.200000,15.200000
,NR SA,-122.357265,47.138582,583,-84.210000,27.400000,,1.200000,16.700000
,NR SA,-122.357265,47.138582,,,,,1.200000,
,NR SA,-122.357265,47.138582,,,,,1.200000,
,NR SA,-122.357265,47.138582,583,-83.720000,24.310000,,1.200000,
,NR SA,-122.357265,47.138582,,,,,1.200000,
,NR SA,-122.357265,47.138582,583,-87.310000,26.460000,,1.200000,17.900000
,NR SA,-122.357265,47.138582,583,-86.720000,27.030000,10.485,1.200000,19.200000
,NR SA,-122.357265,47.138582,583,-83.000000,29.250000,10.485,1.200000,17.300000
,NR SA,-122.357265,47.138582,583,-83.870000,29.010000,9.437,1.200000,17.600000
,NR SA,-122.357265,47.138582,583,-83.160000,29.910000,10.485,1.200000,17.900000
,NR SA,-122.357253,47.138593,583,-82.070000,31.260000,9.437,1.200000,18.000000
,NR SA,-122.357252,47.138607,583,-81.320000,30.650000,10.485,1.200000,18.300000
,NR SA,-122.357245,47.138618,583,-83.440000,28.990000,9.437,1.200000,19.000000
,NR SA,-122.357242,47.138632,583,-81.590000,31.040000,10.485,1.200000,18.400000
,NR SA,-122.357232,47.138647,583,-84.370000,29.530000,9.437,1.200000,18.200000
,NR SA,-122.357223,47.138668,583,-82.770000,31.560000,10.485,1.200000,18.300000
,NR SA,-122.357210,47.138697,583,-80.830000,32.460000,9.437,1.200000,18.000000
,NR SA,-122.357210,47.138757,583,-79.850000,32.050000,10.485,1.200000,17.700000
,NR SA,-122.357207,47.138820,583,-79.200000,32.570000,9.437,1.200000,16.900000
,NR SA,-122.357213,47.138902,583,-77.290000,32.810000,,1.200000,14.500000
,NR SA,-122.357220,47.138993,583,-81.420000,30.490000,,1.200000,17.900000
,NR SA,-122.357228,47.139097,583,-81.760000,29.190000,,1.300000,17.500000
,NR SA,-122.357230,47.139202,583,-76.180000,32.160000,,1.300000,13.900000
,NR SA,-122.357235,47.139313,583,-74.980000,31.550000,,1.300000,14.300000
,NR SA,-122.357238,47.139433,583,-75.100000,31.480000,,1.300000,14.700000
,NR SA,-122.357243,47.139557,583,-77.690000,29.840000,,1.300000,15.300000
,NR SA,-122.357253,47.139687,583,-78.340000,29.670000,,1.300000,15.300000
,NR SA,-122.357260,47.139822,583,-76.990000,31.250000,,1.300000,15.800000
,NR SA,-122.357268,47.139960,583,-75.200000,32.000000,,1.400000,14.200000
,NR SA,-122.357277,47.140097,583,-75.590000,32.220000,,1.400000,13.800000
,NR SA,-122.357283,47.140242,583,-76.030000,31.530000,,1.400000,16.700000
,NR SA,-122.357292,47.140388,583,-80.750000,28.990000,10.485,1.400000,19.300000
,NR SA,-122.357300,47.140545,583,-86.230000,25.560000,10.485,1.400000,20.300000
,NR SA,-122.357305,47.140705,583,-89.690000,23.400000,9.437,1.400000,20.600000
,NR SA,-122.357307,47.140867,583,-90.440000,22.570000,10.485,1.500000,20.800000
,NR SA,-122.357312,47.141033,583,-91.100000,23.410000,9.437,1.500000,20.700000
,NR SA,-122.357317,47.141207,583,-87.920000,26.080000,10.485,1.500000,20.300000
,NR SA,-122.357322,47.141383,583,-89.020000,25.300000,9.437,1.500000,20.700000
,NR SA,-122.357323,47.141570,583,-88.920000,25.050000,10.485,1.500000,20.600000
,NR SA,-122.357325,47.141753,583,-91.330000,23.560000,9.437,1.500000,21.100000
,NR SA,-122.357323,47.141942,583,-93.770000,20.440000,10.485,1.600000,21.100000
,NR SA,-122.357322,47.142132,583,-94.870000,18.560000,9.437,1.600000,21.100000
,NR SA,-122.357323,47.142322,583,-95.790000,17.220000,8.388,1.600000,21.200000
,NR SA,-122.357327,47.142513,583,-95.640000,16.430000,11.534,1.600000,21.100000
,NR SA,-122.357323,47.142702,583,-95.320000,16.170000,,1.700000,20.900000
,NR SA,-122.357327,47.142897,583,-95.030000,15.740000,,1.700000,19.900000
,NR SA,-122.357325,47.143087,583,-96.890000,13.750000,,1.700000,21.200000
,NR SA,-122.357317,47.143270,583,-96.430000,16.300000,,1.700000,21.700000
,NR SA,-122.357313,47.143453,583,-96.800000,8.440000,,1.700000,20.800000
,NR SA,-122.357310,47.143635,583,-98.120000,11.100000,,1.800000,21.900000
,NR SA,-122.357308,47.143812,583,-100.380000,9.790000,,1.800000,22.300000
,NR SA,-122.357307,47.143988,583,-103.070000,6.450000,,1.800000,22.500000
,NR SA,-122.357297,47.144157,583,-102.290000,8.910000,,1.800000,22.600000
,NR SA,-122.357288,47.144330,583,-102.060000,6.180000,,1.800000,22.400000
,NR SA,-122.357277,47.144505,583,-99.660000,7.920000,,1.900000,21.500000
,NR SA,-122.357268,47.144687,583,-99.670000,7.950000,10.485,1.900000,21.300000
,NR SA,-122.357262,47.144870,583,-101.000000,7.400000,9.437,1.900000,21.200000
,NR SA,-122.357253,47.145045,583,-104.390000,4.470000,0.000,1.900000,21.300000
,NR SA,-122.357242,47.145217,583,-104.460000,8.070000,0.000,1.900000,21.200000
,NR SA,-122.357237,47.145392,583,-103.630000,8.510000,8.388,2.000000,21.300000
,NR SA,-122.357232,47.145563,583,-102.000000,9.480000,7.340,2.000000,21.200000
,NR SA,-122.357228,47.145737,583,-104.490000,6.780000,0.000,2.000000,21.400000
,NR SA,-122.357228,47.145915,583,-106.080000,5.970000,8.388,2.000000,21.200000
,NR SA,-122.357227,47.146097,583,-106.380000,4.840000,0.000,2.000000,21.400000
,NR SA,-122.357223,47.146278,583,-105.520000,4.460000,0.000,2.100000,21.300000
,NR SA,-122.357218,47.146457,583,-104.620000,3.740000,7.340,2.100000,21.300000
,NR SA,-122.357218,47.146637,583,-104.740000,5.360000,0.000,2.100000,21.200000
,NR SA,-122.357218,47.146818,583,-104.220000,7.320000,,2.100000,21.200000
,NR SA,-122.357217,47.147003,583,-106.590000,4.100000,2.934,2.100000,21.100000
,NR SA,-122.357215,47.147185,583,-108.100000,1.990000,,2.200000,21.200000
,NR SA,-122.357213,47.147367,583,-105.400000,4.840000,,2.200000,21.600000
,NR SA,-122.357210,47.147548,583,-108.370000,1.220000,,2.200000,22.600000
,NR SA,-122.357200,47.147730,583,-107.890000,-2.280000,,2.200000,22.700000
,NR SA,-122.357190,47.147913,583,-108.320000,-0.670000,,2.200000,23.100000
,NR SA,-122.357182,47.148093,583,-109.830000,-1.330000,,2.300000,22.600000
,NR SA,-122.357175,47.148270,583,-104.960000,-1.560000,,2.300000,22.700000
,NR SA,-122.357168,47.148443,583,-104.430000,-3.190000,,2.300000,22.500000
,NR SA,-122.357163,47.148615,583,-106.590000,-5.950000,,2.300000,22.400000
,NR SA,-122.357162,47.148787,583,-107.760000,-5.970000,,2.300000,22.900000
,NR SA,-122.357160,47.148962,583,-109.310000,-5.650000,10.485,2.400000,22.000000
,NR SA,-122.357162,47.149137,583,-107.170000,-5.190000,6.291,2.400000,21.300000
,NR SA,-122.357162,47.149302,583,-101.890000,-0.510000,8.388,2.400000,21.200000
,NR SA,-122.357162,47.149460,583,-103.330000,-3.060000,0.000,2.400000,21.600000
,NR SA,-122.357163,47.149615,583,-109.450000,-6.460000,0.000,2.400000,22.400000
,NR SA,-122.357163,47.149765,583,-119.190000,-10.970000,0.000,2.400000,22.800000
,NR SA,-122.357163,47.149910,583,-111.890000,-9.620000,0.000,2.500000,23.300000
,NR SA,-122.357163,47.150048,583,-117.540000,-14.750000,0.000,2.500000,23.500000
,NR SA,-122.357162,47.150188,583,-121.730000,-16.120000,0.000,2.500000,
,NR SA,-122.357160,47.150330,583,-116.290000,-18.050000,0.000,2.500000,
,NR SA,-122.357155,47.150470,583,-122.500000,-20.230000,0.000,2.500000,
,No Service,-122.357150,47.150603,,,,0.000,2.500000,
,No Service,-122.357148,47.150735,,,,,2.500000,
,No Service,-122.357148,47.150863,,,,,2.600000,
,No Service,-122.357147,47.150987,,,,,2.600000,
,No Service,-122.357148,47.151103,,,,,2.600000,
,No Service,-122.357150,47.151213,,,,,2.600000,
,No Service,-122.357152,47.151313,,,,,2.600000,
,No Service,-122.357155,47.151408,,,,,2.600000,
,No Service,-122.357158,47.151497,,,,,2.600000,
,No Service,-122.357157,47.151585,,,,,2.600000,
,No Service,-122.357153,47.151680,,,,,2.700000,
,No Service,-122.357150,47.151787,,,,,2.700000,
,No Service,-122.357148,47.151902,,,,,2.700000,
,No Service,-122.357147,47.152022,,,,,2.700000,
,No Service,-122.357145,47.152140,,,,,2.700000,
,No Service,-122.357143,47.152258,,,,,2.700000,
,No Service,-122.357142,47.152368,,,,,2.700000,
,No Service,-122.357138,47.152475,,,,,2.700000,
,No Service,-122.357137,47.152587,,,,,2.800000,
,No Service,-122.357137,47.152703,,,,,2.800000,
,No Service,-122.357137,47.152823,,,,,2.800000,
,No Service,-122.357132,47.152943,,,,,2.800000,
,No Service,-122.357127,47.153058,,,,,2.800000,
,No Service,-122.357123,47.153167,,,,,2.800000,
,No Service,-122.357122,47.153268,,,,,2.800000,
,No Service,-122.357128,47.153367,,,,,2.800000,
,No Service,-122.357140,47.153465,,,,,2.900000,
,No Service,-122.357155,47.153565,,,,,2.900000,
,No Service,-122.357168,47.153662,,,,,2.900000,
,No Service,-122.357175,47.153752,,,,,2.900000,
,No Service,-122.357175,47.153830,,,,,2.900000,
,No Service,-122.357175,47.153898,,,,,2.900000,
,No Service,-122.357175,47.153953,,,,,2.900000,
,No Service,-122.357173,47.153993,,,,,2.900000,
,No Service,-122.357168,47.154023,,,,,2.900000,
,No Service,-122.357167,47.154040,,,,,2.900000,
,No Service,-122.357165,47.154042,,,,,2.900000,
,No Service,-122.357163,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357165,47.154045,,,,,2.900000,
,No Service,-122.357200,47.154057,,,,,2.900000,
,No Service,-122.357198,47.154075,,,,,2.900000,
,No Service,-122.357195,47.154097,,,,,2.900000,
,No Service,-122.357190,47.154128,,,,,2.900000,
,No Service,-122.357195,47.154165,,,,,2.900000,
,No Service,-122.357213,47.154200,,,,,2.900000,
,No Service,-122.357247,47.154222,,,,,2.900000,
,No Service,-122.357283,47.154235,,,,,2.900000,
,No Service,-122.357330,47.154188,,,,,2.900000,
,No Service,-122.357355,47.154138,,,,,3.000000,
,No Service,-122.357368,47.154062,,,,,3.000000,
,No Service,-122.357375,47.153970,,,,,3.000000,
,No Service,-122.357373,47.153855,,,,,3.000000,
,No Service,-122.357373,47.153732,,,,,3.000000,
,No Service,-122.357372,47.153607,,,,,3.000000,
,No Service,-122.357353,47.153472,,,,,3.000000,
,No Service,-122.357342,47.153345,,,,,3.000000,
,No Service,-122.357333,47.153215,,,,,3.100000,
,No Service,-122.357328,47.153083,,,,,3.100000,
,No Service,-122.357327,47.152952,,,,,3.100000,
,No Service,-122.357327,47.152820,,,,,3.100000,
,No Service,-122.357327,47.152688,,,,,3.100000,
,No Service,-122.357327,47.152558,,,,,3.100000,
,No Service,-122.357330,47.152435,,,,,3.100000,
,No Service,-122.357332,47.152317,,,,,3.200000,
,No Service,-122.357333,47.152202,,,,,3.200000,
,No Service,-122.357337,47.152088,,,,,3.200000,
,No Service,-122.357342,47.151975,,,,,3.200000,
,NR SA,-122.357347,47.151862,583,-97.140000,-2.140000,,3.200000,21.900000
,NR SA,-122.357352,47.151745,583,-96.140000,-2.270000,,3.200000,22.200000
,NR SA,-122.357355,47.151625,583,-97.320000,-2.350000,,3.200000,22.400000
,NR SA,-122.357360,47.151508,583,-100.280000,-3.530000,10.485,3.200000,22.200000
,NR SA,-122.357365,47.151398,583,-97.690000,-0.550000,,3.300000,21.200000
,NR SA,-122.357365,47.151295,583,-99.510000,-2.540000,,3.300000,21.600000
,NR SA,-122.357367,47.151203,583,-101.270000,-4.440000,,3.300000,22.300000
,NR SA,-122.357367,47.151125,583,-101.190000,-1.990000,,3.300000,22.400000
,NR SA,-122.357365,47.151058,583,-101.280000,-1.810000,,3.300000,22.400000
,NR SA,-122.357363,47.151002,583,-100.560000,-3.780000,,3.300000,22.300000
,NR SA,-122.357360,47.150958,583,-98.370000,-1.940000,,3.300000,21.400000
,NR SA,-122.357352,47.150928,583,-100.730000,-4.190000,,3.300000,24.000000
,NR SA,-122.357342,47.150913,583,-98.960000,-4.270000,,3.300000,23.600000
,NR SA,-122.357335,47.150912,583,-98.600000,-3.570000,,3.300000,21.900000
,NR SA,-122.357335,47.150915,583,-99.270000,-2.790000,,3.300000,22.300000
,NR SA,-122.357335,47.150917,583,-99.470000,-3.300000,,3.300000,22.200000
,NR SA,-122.357333,47.150918,583,-99.960000,-3.900000,10.485,3.300000,22.300000
,NR SA,-122.357333,47.150918,583,-105.610000,-7.600000,5.242,3.300000,21.900000
